rule_id,fired_count,year,episode_idx
2319509238576,27,2011,25
2319509440304,27,2011,25
2319509443296,27,2011,25
2319509228544,3,2011,25
2319509233648,3,2011,25
2319509233824,3,2011,25
2319509445056,1,2011,25
2319491432880,1,2011,25
2319509020304,1,2011,25
2319509231888,1,2011,25
2319509441360,1,2011,25
2319508448976,2,2011,25
2319509438544,2,2011,25
2319509438720,2,2011,25
2319509445232,1,2011,25
2319509226256,2,2011,25
2319509439952,3,2011,25
2319509439776,1,2011,25
2319491439216,1,2011,25
2319509024880,1,2011,25
